Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
200 Beech St, 200 Beech St, 02131, Boston, MA, 42.28192, -71.142296, 1379900, FOR_SALE, SINGLE_FAMILY, 59144237, 2500, 5, 3, , 7, 6, 500020000, true, false, -1, false
57 Broadlawn Park APT 21A, 57 Broadlawn Park APT 21A, 02467, Chestnut Hill, MA, 42.302647, -71.16534, 399000, FOR_SALE, CONDO, 59155146, 759, 1, 1, Apt 21A, 8, 1, 3869620000, true, false, -1, false
49-51 Callender St, 49-51 Callender St, 02124, Dorchester Center, MA, 42.289124, -71.08071, 689995, FOR_SALE, MULTI_FAMILY, 2056983061, 2250, 6, 2, , 1, 7, 154420000, true, false, -1, false
37 Msgr Patrick J Lydon Way, 37 Msgr Patrick J Lydon Way, 02124, Dorchester, MA, 42.28845, -71.061516, 999950, FOR_SALE, MULTI_FAMILY, 59113080, 3480, 9, 3, , 3, 1, 672820000, true, false, -1, false
4 Hill St, 4 Hill St, 02129, Charlestown, MA, 42.381256, -71.064415, 1750000, FOR_SALE, SINGLE_FAMILY, 59099715, 2484, 5, 3, , 5, 2, 932020000, true, false, -1, false
599 Tremont St APT 6, 599 Tremont St APT 6, 02118, Boston, MA, 42.343197, -71.07343, 699000, FOR_SALE, CONDO, 59211072, 643, 1, 1, Apt 6, 5, 6, 327220000, true, false, -1, false
6 Newbury St #501-502, 6 Newbury St #501-502, 02116, Boston, MA, 42.352352, -71.071625, 19250000, FOR_SALE, CONDO, 440974751, 5992, 5, 7, # 501-502, 5, 6, 1709620000, true, false, -1, false
330 Summit Ave UNIT 101, 330 Summit Ave UNIT 101, 02135, Brighton, MA, 42.34543, -71.14075, 599000, FOR_SALE, CONDO, 71505136, 1200, 2, 2, Unit 101, 3, 10, 327220000, true, false, -1, false
1515 Vfw Pkwy #30, 1515 Vfw Pkwy #30, 02132, West Roxbury, MA, 42.267612, -71.17258, 105000, FOR_SALE, MANUFACTURED, 438788126, 370, 1, 1, # 30, 4, 4, 5856820000, true, false, -1, false
14 Robey St UNIT 14, 14 Robey St UNIT 14, 02119, Roxbury, MA, 42.322575, -71.06809, 539000, FOR_SALE, TOWNHOUSE, 440588878, 1240, 3, 2, Unit 14, 10, 1, 759220000, true, false, -1, false
